Work on GPU:  0,1
load_weight 304
Train set size: 12271
Validation set size: 3068
batch_size: 120
Total Parameters: 51.353M
[Epoch 35] Train time:2.11, Training accuracy:0.9841. Loss: 1.878 LR:0.000020
[Epoch 35] Validation accuracy:0.9143, Loss:0.353, f1 0.863155, score 0.880033
[Epoch 36] Train time:2.11, Training accuracy:0.9852. Loss: 1.868 LR:0.000020
[Epoch 36] Validation accuracy:0.9159, Loss:0.352, f1 0.868379, score 0.884061
[Epoch 37] Train time:2.11, Training accuracy:0.9855. Loss: 1.867 LR:0.000019
[Epoch 37] Validation accuracy:0.9117, Loss:0.354, f1 0.862221, score 0.878549
[Epoch 38] Train time:2.11, Training accuracy:0.9850. Loss: 1.863 LR:0.000019
[Epoch 38] Validation accuracy:0.9140, Loss:0.353, f1 0.857126, score 0.875894
[Epoch 39] Train time:2.11, Training accuracy:0.9848. Loss: 1.861 LR:0.000019
[Epoch 39] Validation accuracy:0.9110, Loss:0.357, f1 0.863236, score 0.878998
[Epoch 40] Train time:2.11, Training accuracy:0.9850. Loss: 1.862 LR:0.000018
[Epoch 40] Validation accuracy:0.9169, Loss:0.351, f1 0.868568, score 0.884517
[Epoch 41] Train time:2.11, Training accuracy:0.9845. Loss: 1.862 LR:0.000018
[Epoch 41] Validation accuracy:0.9100, Loss:0.365, f1 0.859709, score 0.876305
[Epoch 42] Train time:2.11, Training accuracy:0.9856. Loss: 1.855 LR:0.000017
[Epoch 42] Validation accuracy:0.9110, Loss:0.349, f1 0.858633, score 0.875914
[Epoch 43] Train time:2.11, Training accuracy:0.9858. Loss: 1.855 LR:0.000017
[Epoch 43] Validation accuracy:0.9120, Loss:0.356, f1 0.860319, score 0.877374
[Epoch 44] Train time:2.11, Training accuracy:0.9865. Loss: 1.848 LR:0.000017
[Epoch 44] Validation accuracy:0.9117, Loss:0.352, f1 0.860467, score 0.877374
[Epoch 45] Train time:2.11, Training accuracy:0.9862. Loss: 1.854 LR:0.000016
[Epoch 45] Validation accuracy:0.9104, Loss:0.359, f1 0.857050, score 0.874655
[Epoch 46] Train time:2.11, Training accuracy:0.9870. Loss: 1.846 LR:0.000016
[Epoch 46] Validation accuracy:0.9113, Loss:0.351, f1 0.857411, score 0.875194
[Epoch 47] Train time:2.11, Training accuracy:0.9869. Loss: 1.849 LR:0.000016
[Epoch 47] Validation accuracy:0.9153, Loss:0.353, f1 0.863116, score 0.880337
[Epoch 48] Train time:2.11, Training accuracy:0.9879. Loss: 1.846 LR:0.000015
[Epoch 48] Validation accuracy:0.9130, Loss:0.356, f1 0.863128, score 0.879586
[Epoch 49] Train time:2.11, Training accuracy:0.9877. Loss: 1.840 LR:0.000015
[Epoch 49] Validation accuracy:0.9117, Loss:0.358, f1 0.860673, score 0.877512
[Epoch 50] Train time:2.11, Training accuracy:0.9881. Loss: 1.836 LR:0.000015
[Epoch 50] Validation accuracy:0.9156, Loss:0.347, f1 0.867062, score 0.883079
[Epoch 51] Train time:2.11, Training accuracy:0.9877. Loss: 1.833 LR:0.000015
[Epoch 51] Validation accuracy:0.9126, Loss:0.354, f1 0.857420, score 0.875629
[Epoch 52] Train time:2.11, Training accuracy:0.9888. Loss: 1.831 LR:0.000014
[Epoch 52] Validation accuracy:0.9130, Loss:0.362, f1 0.862842, score 0.879394
[Epoch 53] Train time:2.11, Training accuracy:0.9879. Loss: 1.824 LR:0.000014
[Epoch 53] Validation accuracy:0.9169, Loss:0.347, f1 0.870755, score 0.885983
[Epoch 54] Train time:2.11, Training accuracy:0.9897. Loss: 1.821 LR:0.000014
[Epoch 54] Validation accuracy:0.9156, Loss:0.347, f1 0.868614, score 0.884119
[Epoch 55] Train time:2.11, Training accuracy:0.9874. Loss: 1.838 LR:0.000013
[Epoch 55] Validation accuracy:0.9156, Loss:0.359, f1 0.859683, score 0.878135
[Epoch 56] Train time:2.11, Training accuracy:0.9897. Loss: 1.824 LR:0.000013
[Epoch 56] Validation accuracy:0.9175, Loss:0.351, f1 0.866243, score 0.883158
[Epoch 57] Train time:2.11, Training accuracy:0.9875. Loss: 1.831 LR:0.000013
[Epoch 57] Validation accuracy:0.9153, Loss:0.358, f1 0.864651, score 0.881365
[Epoch 58] Train time:2.11, Training accuracy:0.9894. Loss: 1.820 LR:0.000013
[Epoch 58] Validation accuracy:0.9156, Loss:0.353, f1 0.863348, score 0.880591
[Epoch 59] Train time:2.11, Training accuracy:0.9888. Loss: 1.827 LR:0.000012
[Epoch 59] Validation accuracy:0.9159, Loss:0.348, f1 0.866513, score 0.882811
[Epoch 60] Train time:2.11, Training accuracy:0.9901. Loss: 1.816 LR:0.000012
[Epoch 60] Validation accuracy:0.9149, Loss:0.354, f1 0.863837, score 0.880688
[Epoch 61] Train time:2.11, Training accuracy:0.9898. Loss: 1.820 LR:0.000012
[Epoch 61] Validation accuracy:0.9169, Loss:0.343, f1 0.865804, score 0.882666
[Epoch 62] Train time:2.11, Training accuracy:0.9900. Loss: 1.813 LR:0.000012
[Epoch 62] Validation accuracy:0.9169, Loss:0.353, f1 0.864972, score 0.882108
[Epoch 63] Train time:2.11, Training accuracy:0.9902. Loss: 1.811 LR:0.000011
[Epoch 63] Validation accuracy:0.9133, Loss:0.356, f1 0.860150, score 0.877690
[Epoch 64] Train time:2.11, Training accuracy:0.9905. Loss: 1.809 LR:0.000011
[Epoch 64] Validation accuracy:0.9146, Loss:0.353, f1 0.860463, score 0.878328
[Epoch 65] Train time:2.11, Training accuracy:0.9901. Loss: 1.810 LR:0.000011
[Epoch 65] Validation accuracy:0.9169, Loss:0.355, f1 0.866979, score 0.883453
[Epoch 66] Train time:2.11, Training accuracy:0.9901. Loss: 1.811 LR:0.000011
[Epoch 66] Validation accuracy:0.9162, Loss:0.351, f1 0.863399, score 0.880823
[Epoch 67] Train time:2.11, Training accuracy:0.9907. Loss: 1.817 LR:0.000011
[Epoch 67] Validation accuracy:0.9166, Loss:0.354, f1 0.863879, score 0.881277
[Epoch 68] Train time:2.11, Training accuracy:0.9897. Loss: 1.813 LR:0.000010
[Epoch 68] Validation accuracy:0.9185, Loss:0.351, f1 0.869251, score 0.885503
[Epoch 69] Train time:2.11, Training accuracy:0.9907. Loss: 1.805 LR:0.000010
[Epoch 69] Validation accuracy:0.9166, Loss:0.355, f1 0.863574, score 0.881073
[Epoch 70] Train time:2.12, Training accuracy:0.9904. Loss: 1.802 LR:0.000010
[Epoch 70] Validation accuracy:0.9166, Loss:0.349, f1 0.867243, score 0.883531
[Epoch 71] Train time:2.11, Training accuracy:0.9921. Loss: 1.798 LR:0.000010
[Epoch 71] Validation accuracy:0.9130, Loss:0.344, f1 0.863200, score 0.879634
[Epoch 72] Train time:2.11, Training accuracy:0.9908. Loss: 1.805 LR:0.000010
[Epoch 72] Validation accuracy:0.9159, Loss:0.347, f1 0.864384, score 0.881384
[Epoch 73] Train time:2.11, Training accuracy:0.9918. Loss: 1.799 LR:0.000009
[Epoch 73] Validation accuracy:0.9159, Loss:0.351, f1 0.866749, score 0.882969
[Epoch 74] Train time:2.11, Training accuracy:0.9916. Loss: 1.800 LR:0.000009
[Epoch 74] Validation accuracy:0.9175, Loss:0.351, f1 0.866542, score 0.883358
[Epoch 75] Train time:2.11, Training accuracy:0.9924. Loss: 1.798 LR:0.000009
[Epoch 75] Validation accuracy:0.9146, Loss:0.353, f1 0.863963, score 0.880673
[Epoch 76] Train time:2.11, Training accuracy:0.9919. Loss: 1.797 LR:0.000009
[Epoch 76] Validation accuracy:0.9153, Loss:0.352, f1 0.867682, score 0.883396
[Epoch 77] Train time:2.12, Training accuracy:0.9936. Loss: 1.785 LR:0.000009
[Epoch 77] Validation accuracy:0.9182, Loss:0.343, f1 0.870209, score 0.886046
[Epoch 78] Train time:2.11, Training accuracy:0.9920. Loss: 1.799 LR:0.000008
[Epoch 78] Validation accuracy:0.9166, Loss:0.347, f1 0.868132, score 0.884127
[Epoch 79] Train time:2.11, Training accuracy:0.9921. Loss: 1.799 LR:0.000008
[Epoch 79] Validation accuracy:0.9188, Loss:0.348, f1 0.868431, score 0.885053
[Epoch 80] Train time:2.11, Training accuracy:0.9920. Loss: 1.797 LR:0.000008
[Epoch 80] Validation accuracy:0.9185, Loss:0.342, f1 0.870182, score 0.886127
[Epoch 81] Train time:2.11, Training accuracy:0.9915. Loss: 1.794 LR:0.000008
[Epoch 81] Validation accuracy:0.9195, Loss:0.347, f1 0.875805, score 0.890224
Model saved.
best_acc:0.9195
[Epoch 82] Train time:2.11, Training accuracy:0.9916. Loss: 1.793 LR:0.000008
[Epoch 82] Validation accuracy:0.9166, Loss:0.354, f1 0.870658, score 0.885819
[Epoch 83] Train time:2.11, Training accuracy:0.9923. Loss: 1.793 LR:0.000008
[Epoch 83] Validation accuracy:0.9166, Loss:0.349, f1 0.867645, score 0.883800
[Epoch 84] Train time:2.12, Training accuracy:0.9920. Loss: 1.787 LR:0.000007
[Epoch 84] Validation accuracy:0.9175, Loss:0.348, f1 0.870206, score 0.885813
[Epoch 85] Train time:2.11, Training accuracy:0.9930. Loss: 1.788 LR:0.000007
[Epoch 85] Validation accuracy:0.9156, Loss:0.355, f1 0.874050, score 0.887761
[Epoch 86] Train time:2.11, Training accuracy:0.9920. Loss: 1.796 LR:0.000007
[Epoch 86] Validation accuracy:0.9153, Loss:0.353, f1 0.869966, score 0.884926
[Epoch 87] Train time:2.11, Training accuracy:0.9926. Loss: 1.786 LR:0.000007
[Epoch 87] Validation accuracy:0.9185, Loss:0.353, f1 0.873454, score 0.888319
[Epoch 88] Train time:2.11, Training accuracy:0.9927. Loss: 1.787 LR:0.000007
[Epoch 88] Validation accuracy:0.9185, Loss:0.347, f1 0.874765, score 0.889197
[Epoch 89] Train time:2.12, Training accuracy:0.9942. Loss: 1.777 LR:0.000007
[Epoch 89] Validation accuracy:0.9143, Loss:0.347, f1 0.866218, score 0.882085
[Epoch 90] Train time:2.11, Training accuracy:0.9931. Loss: 1.777 LR:0.000007
[Epoch 90] Validation accuracy:0.9179, Loss:0.344, f1 0.867925, score 0.884417
[Epoch 91] Train time:2.11, Training accuracy:0.9932. Loss: 1.781 LR:0.000006
[Epoch 91] Validation accuracy:0.9195, Loss:0.344, f1 0.873812, score 0.888889
[Epoch 92] Train time:2.11, Training accuracy:0.9932. Loss: 1.780 LR:0.000006
[Epoch 92] Validation accuracy:0.9140, Loss:0.354, f1 0.865198, score 0.881303
[Epoch 93] Train time:2.12, Training accuracy:0.9927. Loss: 1.786 LR:0.000006
[Epoch 93] Validation accuracy:0.9201, Loss:0.349, f1 0.875541, score 0.890246
Model saved.
best_acc:0.9201
[Epoch 94] Train time:2.11, Training accuracy:0.9936. Loss: 1.776 LR:0.000006
[Epoch 94] Validation accuracy:0.9166, Loss:0.351, f1 0.872389, score 0.886979
[Epoch 95] Train time:2.11, Training accuracy:0.9940. Loss: 1.778 LR:0.000006
[Epoch 95] Validation accuracy:0.9188, Loss:0.347, f1 0.873748, score 0.888615
[Epoch 96] Train time:2.12, Training accuracy:0.9936. Loss: 1.780 LR:0.000006
[Epoch 96] Validation accuracy:0.9208, Loss:0.346, f1 0.881178, score 0.894253
Model saved.
best_acc:0.9208
[Epoch 97] Train time:2.11, Training accuracy:0.9935. Loss: 1.779 LR:0.000006
[Epoch 97] Validation accuracy:0.9162, Loss:0.348, f1 0.869344, score 0.884806
[Epoch 98] Train time:2.12, Training accuracy:0.9936. Loss: 1.779 LR:0.000006
[Epoch 98] Validation accuracy:0.9185, Loss:0.345, f1 0.871906, score 0.887282
[Epoch 99] Train time:2.12, Training accuracy:0.9944. Loss: 1.774 LR:0.000006
[Epoch 99] Validation accuracy:0.9188, Loss:0.342, f1 0.874933, score 0.889409
[Epoch 100] Train time:2.11, Training accuracy:0.9944. Loss: 1.772 LR:0.000005
[Epoch 100] Validation accuracy:0.9162, Loss:0.343, f1 0.865608, score 0.882303
[Epoch 101] Train time:2.11, Training accuracy:0.9941. Loss: 1.776 LR:0.000005
[Epoch 101] Validation accuracy:0.9172, Loss:0.347, f1 0.868695, score 0.884702
[Epoch 102] Train time:2.12, Training accuracy:0.9944. Loss: 1.771 LR:0.000005
[Epoch 102] Validation accuracy:0.9130, Loss:0.346, f1 0.862244, score 0.878993
[Epoch 103] Train time:2.12, Training accuracy:0.9940. Loss: 1.773 LR:0.000005
[Epoch 103] Validation accuracy:0.9179, Loss:0.339, f1 0.869234, score 0.885294
[Epoch 104] Train time:2.12, Training accuracy:0.9944. Loss: 1.769 LR:0.000005
[Epoch 104] Validation accuracy:0.9136, Loss:0.348, f1 0.861130, score 0.878445
[Epoch 105] Train time:2.11, Training accuracy:0.9923. Loss: 1.782 LR:0.000005
[Epoch 105] Validation accuracy:0.9126, Loss:0.354, f1 0.858757, score 0.876525
[Epoch 106] Train time:2.11, Training accuracy:0.9930. Loss: 1.780 LR:0.000005
[Epoch 106] Validation accuracy:0.9169, Loss:0.345, f1 0.866914, score 0.883410
[Epoch 107] Train time:2.12, Training accuracy:0.9944. Loss: 1.769 LR:0.000005
[Epoch 107] Validation accuracy:0.9175, Loss:0.343, f1 0.869935, score 0.885632
[Epoch 108] Train time:2.11, Training accuracy:0.9941. Loss: 1.775 LR:0.000005
