Work on GPU:  0,1
load_weight 304
Namespace(dataset='rafdb', checkpoint=None, batch_size=120, val_batch_size=32, modeltype='small', optimizer='adam', lr=4e-05, momentum=0.9, workers=2, epochs=250, gpu='0,1', head_type='enhanced_v1')
Train set size: 12271
Validation set size: 3068
GFLOPs: 13.59
GMacs: 6.79
Params: 51.35M
batch_size: 120
Total Parameters: 51.353M
[Epoch 33] Validation accuracy:0.9149, Loss:0.358, f1 0.863082, score 0.880182
[Epoch 34] Train time:2.08, Training accuracy:0.9827. Loss: 1.888 LR:0.000021
[Epoch 34] Validation accuracy:0.9159, Loss:0.352, f1 0.861908, score 0.879725
[Epoch 35] Train time:2.08, Training accuracy:0.9854. Loss: 1.877 LR:0.000020
[Epoch 35] Validation accuracy:0.9162, Loss:0.351, f1 0.865426, score 0.882181
[Epoch 36] Train time:2.08, Training accuracy:0.9845. Loss: 1.868 LR:0.000020
[Epoch 36] Validation accuracy:0.9078, Loss:0.369, f1 0.856187, score 0.873220
[Epoch 37] Train time:2.08, Training accuracy:0.9849. Loss: 1.874 LR:0.000019
[Epoch 37] Validation accuracy:0.9136, Loss:0.350, f1 0.863026, score 0.879715
[Epoch 38] Train time:2.08, Training accuracy:0.9845. Loss: 1.871 LR:0.000019
[Epoch 38] Validation accuracy:0.9188, Loss:0.348, f1 0.861413, score 0.880351
[Epoch 39] Train time:2.09, Training accuracy:0.9865. Loss: 1.850 LR:0.000019
[Epoch 39] Validation accuracy:0.9136, Loss:0.354, f1 0.862844, score 0.879593
[Epoch 40] Train time:2.08, Training accuracy:0.9843. Loss: 1.864 LR:0.000018
[Epoch 40] Validation accuracy:0.9143, Loss:0.359, f1 0.866022, score 0.881954
[Epoch 41] Train time:2.08, Training accuracy:0.9845. Loss: 1.862 LR:0.000018
[Epoch 41] Validation accuracy:0.9104, Loss:0.360, f1 0.859182, score 0.876084
[Epoch 42] Train time:2.08, Training accuracy:0.9859. Loss: 1.850 LR:0.000017
[Epoch 42] Validation accuracy:0.9146, Loss:0.347, f1 0.859360, score 0.877589
[Epoch 43] Train time:2.09, Training accuracy:0.9877. Loss: 1.846 LR:0.000017
[Epoch 43] Validation accuracy:0.9133, Loss:0.355, f1 0.857759, score 0.876088
[Epoch 44] Train time:2.09, Training accuracy:0.9875. Loss: 1.846 LR:0.000017
[Epoch 44] Validation accuracy:0.9097, Loss:0.359, f1 0.854398, score 0.872648
[Epoch 45] Train time:2.08, Training accuracy:0.9861. Loss: 1.859 LR:0.000016
[Epoch 45] Validation accuracy:0.9136, Loss:0.354, f1 0.862224, score 0.879178
[Epoch 46] Train time:2.08, Training accuracy:0.9852. Loss: 1.847 LR:0.000016
[Epoch 46] Validation accuracy:0.9126, Loss:0.363, f1 0.863395, score 0.879633
[Epoch 47] Train time:2.08, Training accuracy:0.9873. Loss: 1.843 LR:0.000016
[Epoch 47] Validation accuracy:0.9120, Loss:0.362, f1 0.859310, score 0.876698
[Epoch 48] Train time:2.09, Training accuracy:0.9880. Loss: 1.842 LR:0.000015
[Epoch 48] Validation accuracy:0.9140, Loss:0.354, f1 0.860889, score 0.878416
[Epoch 49] Train time:2.08, Training accuracy:0.9866. Loss: 1.844 LR:0.000015
[Epoch 49] Validation accuracy:0.9156, Loss:0.361, f1 0.867423, score 0.883321
[Epoch 50] Train time:2.08, Training accuracy:0.9867. Loss: 1.840 LR:0.000015
[Epoch 50] Validation accuracy:0.9169, Loss:0.348, f1 0.864602, score 0.881860
[Epoch 51] Train time:2.09, Training accuracy:0.9875. Loss: 1.835 LR:0.000015
[Epoch 51] Validation accuracy:0.9149, Loss:0.353, f1 0.861432, score 0.879076
[Epoch 52] Train time:2.09, Training accuracy:0.9881. Loss: 1.834 LR:0.000014
[Epoch 52] Validation accuracy:0.9133, Loss:0.354, f1 0.865699, score 0.881407
[Epoch 53] Train time:2.08, Training accuracy:0.9872. Loss: 1.823 LR:0.000014
[Epoch 53] Validation accuracy:0.9166, Loss:0.353, f1 0.865494, score 0.882359
[Epoch 54] Train time:2.08, Training accuracy:0.9886. Loss: 1.827 LR:0.000014
[Epoch 54] Validation accuracy:0.9166, Loss:0.357, f1 0.862159, score 0.880124
[Epoch 55] Train time:2.08, Training accuracy:0.9873. Loss: 1.837 LR:0.000013
[Epoch 55] Validation accuracy:0.9169, Loss:0.355, f1 0.867305, score 0.883672
[Epoch 56] Train time:2.08, Training accuracy:0.9883. Loss: 1.829 LR:0.000013
[Epoch 56] Validation accuracy:0.9188, Loss:0.343, f1 0.867661, score 0.884537
[Epoch 57] Train time:2.08, Training accuracy:0.9885. Loss: 1.822 LR:0.000013
[Epoch 57] Validation accuracy:0.9175, Loss:0.352, f1 0.866944, score 0.883628
[Epoch 58] Train time:2.08, Training accuracy:0.9904. Loss: 1.819 LR:0.000013
[Epoch 58] Validation accuracy:0.9172, Loss:0.356, f1 0.865527, score 0.882579
[Epoch 59] Train time:2.09, Training accuracy:0.9878. Loss: 1.829 LR:0.000012
[Epoch 59] Validation accuracy:0.9179, Loss:0.348, f1 0.868185, score 0.884591
[Epoch 60] Train time:2.08, Training accuracy:0.9888. Loss: 1.819 LR:0.000012
[Epoch 60] Validation accuracy:0.9175, Loss:0.357, f1 0.871606, score 0.886751
[Epoch 61] Train time:2.09, Training accuracy:0.9895. Loss: 1.821 LR:0.000012
[Epoch 61] Validation accuracy:0.9166, Loss:0.349, f1 0.865631, score 0.882451
[Epoch 62] Train time:2.08, Training accuracy:0.9883. Loss: 1.822 LR:0.000012
[Epoch 62] Validation accuracy:0.9136, Loss:0.360, f1 0.861419, score 0.878639
[Epoch 63] Train time:2.09, Training accuracy:0.9901. Loss: 1.816 LR:0.000011
[Epoch 63] Validation accuracy:0.9153, Loss:0.358, f1 0.866903, score 0.882874
[Epoch 64] Train time:2.09, Training accuracy:0.9892. Loss: 1.817 LR:0.000011
[Epoch 64] Validation accuracy:0.9159, Loss:0.355, f1 0.864650, score 0.881562
[Epoch 65] Train time:2.09, Training accuracy:0.9894. Loss: 1.812 LR:0.000011
[Epoch 65] Validation accuracy:0.9140, Loss:0.356, f1 0.858158, score 0.876586
[Epoch 66] Train time:2.08, Training accuracy:0.9904. Loss: 1.808 LR:0.000011
[Epoch 66] Validation accuracy:0.9169, Loss:0.354, f1 0.862253, score 0.880287
[Epoch 67] Train time:2.08, Training accuracy:0.9905. Loss: 1.815 LR:0.000011
[Epoch 67] Validation accuracy:0.9149, Loss:0.356, f1 0.858483, score 0.877101
[Epoch 68] Train time:2.09, Training accuracy:0.9895. Loss: 1.813 LR:0.000010
[Epoch 68] Validation accuracy:0.9188, Loss:0.357, f1 0.869752, score 0.885938
[Epoch 69] Train time:2.09, Training accuracy:0.9898. Loss: 1.813 LR:0.000010
[Epoch 69] Validation accuracy:0.9149, Loss:0.355, f1 0.864592, score 0.881194
[Epoch 70] Train time:2.09, Training accuracy:0.9904. Loss: 1.805 LR:0.000010
[Epoch 70] Validation accuracy:0.9136, Loss:0.351, f1 0.862185, score 0.879152
[Epoch 71] Train time:2.09, Training accuracy:0.9913. Loss: 1.796 LR:0.000010
[Epoch 71] Validation accuracy:0.9117, Loss:0.347, f1 0.859413, score 0.876668
[Epoch 72] Train time:2.08, Training accuracy:0.9910. Loss: 1.804 LR:0.000010
[Epoch 72] Validation accuracy:0.9146, Loss:0.350, f1 0.860822, score 0.878568
[Epoch 73] Train time:2.09, Training accuracy:0.9906. Loss: 1.800 LR:0.000009
[Epoch 73] Validation accuracy:0.9120, Loss:0.361, f1 0.858484, score 0.876144
[Epoch 74] Train time:2.08, Training accuracy:0.9912. Loss: 1.801 LR:0.000009
[Epoch 74] Validation accuracy:0.9153, Loss:0.350, f1 0.864203, score 0.881065
[Epoch 75] Train time:2.09, Training accuracy:0.9910. Loss: 1.801 LR:0.000009
[Epoch 75] Validation accuracy:0.9136, Loss:0.356, f1 0.857924, score 0.876297
[Epoch 76] Train time:2.09, Training accuracy:0.9927. Loss: 1.790 LR:0.000009
[Epoch 76] Validation accuracy:0.9143, Loss:0.349, f1 0.865263, score 0.881445
[Epoch 77] Train time:2.08, Training accuracy:0.9935. Loss: 1.784 LR:0.000009
[Epoch 77] Validation accuracy:0.9149, Loss:0.347, f1 0.864643, score 0.881228
[Epoch 78] Train time:2.09, Training accuracy:0.9924. Loss: 1.793 LR:0.000008
[Epoch 78] Validation accuracy:0.9169, Loss:0.351, f1 0.870836, score 0.886037
[Epoch 79] Train time:2.09, Training accuracy:0.9910. Loss: 1.799 LR:0.000008
[Epoch 79] Validation accuracy:0.9169, Loss:0.349, f1 0.864687, score 0.881918
[Epoch 80] Train time:2.09, Training accuracy:0.9906. Loss: 1.801 LR:0.000008
